                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.025887,               0.010538,              0.0041255,              0.0027861,                0.93513,                0.91409,                0.92625,                0.68896,                0.95434,                0.93252,                0.94336,                0.63299,               0.023256,               0.013681,              0.0026927,              0.0011925,               0.070769,              0.0032479,              0.0032479
                      1,                0.02764,               0.011193,              0.0046817,              0.0027009,                0.92341,                0.94242,                0.93231,                0.63131,                0.93527,                0.92179,                0.94829,                 0.6064,               0.023855,               0.013978,              0.0026685,              0.0010158,                0.04071,               0.006522,               0.006522
                      2,               0.030788,              0.0097929,              0.0041569,              0.0027207,                 0.9279,                0.91503,                0.92954,                0.55248,                0.96622,                0.95207,                0.96389,                0.74231,               0.028442,               0.014248,              0.0027233,              0.0013528,               0.010591,              0.0097361,              0.0097361
                      3,               0.033053,              0.0095579,              0.0040337,              0.0033855,                0.87571,                 0.9268,                0.93851,                0.51278,                0.88179,                0.92092,                0.92792,                0.55916,                0.03217,               0.013345,              0.0027132,              0.0017978,                0.00973,                0.00973,                0.00973
                      4,               0.034064,              0.0097372,              0.0038062,              0.0030157,                0.88487,                0.86763,                0.92375,                 0.5258,                0.90536,                0.88558,                0.93377,                0.67447,               0.030632,               0.013245,              0.0028846,              0.0012985,                0.00973,                0.00973,                0.00973
                      5,               0.033491,               0.010929,              0.0043912,              0.0029879,                0.91294,                0.89552,                0.91758,                0.46989,                0.93398,                0.91339,                0.93922,                0.68496,               0.029169,               0.013767,              0.0028348,              0.0019671,                0.00964,                0.00964,                0.00964
                      6,               0.032848,                0.01005,              0.0041018,               0.003654,                0.77103,                0.87434,                0.84056,                0.54041,                0.77103,                0.87434,                0.82868,                0.53114,               0.026202,               0.013706,              0.0028005,               0.001916,                0.00955,                0.00955,                0.00955
                      7,               0.031547,              0.0097057,              0.0041773,              0.0028018,                0.85912,                0.87298,                0.90924,                0.59979,                0.87667,                 0.8915,                0.94049,                0.70046,               0.025749,               0.013497,              0.0028131,              0.0013331,                0.00946,                0.00946,                0.00946
                      8,               0.033422,              0.0097009,              0.0041936,              0.0024588,                0.82214,                0.86805,                0.88248,                0.44047,                0.86048,                0.87298,                0.91828,                0.67216,                0.03556,               0.014916,              0.0027905,              0.0015803,                0.00937,                0.00937,                0.00937
                      9,               0.031587,              0.0096218,               0.004166,              0.0029465,                 0.6728,                 0.8671,                0.80672,                0.48978,                 0.6997,                0.90414,                 0.8365,                0.55575,               0.028536,               0.014529,              0.0030466,              0.0019479,                0.00928,                0.00928,                0.00928
